Waf: Entering directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
[964/968] Compiling overlayApplication.cc
[968/968] Linking ../../build/scratch/MinCostFixRate/MinCostFixRate
Waf: Leaving directory `/home/vagrant/ns3/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.636s)
underlay_file: /vagrant/Documents/vagrant_shared_folder/Abvt.graph
overlay_file: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/overlay.txt
route_table: /home/vagrant/ns3/ns-allinone-3.35/ns-3.35/scratch/MinCostFixRate/route_table.txt
Run Simulation.
Node ID: 9 start at 92
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.1967e+07ns, PktID= 7: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.1967e+07ns, PktID= 7: src:9 dest:14
Node ID: 0 forward at: 11967
Node ID: 0PktID: 7src: 9 -dest: 14 queue backlog: 16 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.1967e+07ns, PktID= 7: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.1967e+07ns, PktID= 7: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.19671e+07ns, PktID= 6: src:9 dest:14
Node ID: 6 forward at: 11983.2
Node ID: 7 forward at: 11984.6
Node ID: 1 forward at: 12006.7
Node ID: 8 forward at: 12059.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2093e+07ns, PktID= 8: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2093e+07ns, PktID= 8: src:9 dest:14
Node ID: 0 forward at: 12093
Node ID: 0PktID: 8src: 9 -dest: 14 queue backlog: 18 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2093e+07ns, PktID= 8: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/MacTx	+1.2093e+07ns, PktID= 8: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/TxQueue/Enqueue: trace_NetDeviceQueueEnqueue from 9 to 14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.2102e+07ns, PktID= 7: src:9 dest:14
Node ID: 6 forward at: 12109.2
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.21104e+07ns, PktID= 7: src:9 dest:14
Node ID: 7 forward at: 12110.6
Node ID: 1 forward at: 12132.7
Node ID: 8 forward at: 12185.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2219e+07ns, PktID= 9: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2219e+07ns, PktID= 9: src:9 dest:14
Node ID: 0 forward at: 12219
Node ID: 0PktID: 9src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2219e+07ns, PktID= 9: src:9 dest:14
Node ID: 6 forward at: 12235.2
Node ID: 7 forward at: 12236.6
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxBegin	+1.22453e+07ns, PktID= 8: src:9 dest:14
/NodeList/0/DeviceList/1/$ns3::PointToPointNetDevice/PhyTxEnd	+1.22538e+07ns, PktID= 8: src:9 dest:14
Node ID: 1 forward at: 12258.7
Node ID: 8 forward at: 12311.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2345e+07ns, PktID= 10: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2345e+07ns, PktID= 10: src:9 dest:14
Node ID: 0 forward at: 12345
Node ID: 0PktID: 10src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2345e+07ns, PktID= 10: src:9 dest:14
Node ID: 6 forward at: 12361.2
Node ID: 7 forward at: 12362.6
Node ID: 1 forward at: 12384.7
Node ID: 8 forward at: 12437.3
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2471e+07ns, PktID= 11: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2471e+07ns, PktID= 11: src:9 dest:14
Node ID: 0 forward at: 12471
Node ID: 0PktID: 11src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2471e+07ns, PktID= 11: src:9 dest:14
Node ID: 6 forward at: 12487.2
Node ID: 7 forward at: 12488.6
Node ID: 1 forward at: 12510.7
Node ID: 8 forward at: 12563.3
Node ID: 2 forward at: 12564
/NodeList/0/DeviceList/4/$ns3::PointToPointNetDevice/MacRx	+1.2597e+07ns, PktID= 12: src:9 dest:14
/NodeList/0/$ns3::Ipv4L3Protocol/Rx	+1.2597e+07ns, PktID= 12: src:9 dest:14
Node ID: 0 forward at: 12597
Node ID: 0PktID: 12src: 9 -dest: 14 queue backlog: 20 limit = 20p
/NodeList/0/$ns3::Ipv4L3Protocol/Tx	+1.2597e+07ns, PktID= 12: src:9 dest:14
Node ID: 6 forward at: 12613.2
Node ID: 7 forward at: 12614.6
Node ID: 1 forward at: 12636.7
Node ID: 8 forward at: 12689.3
Node ID: 2 forward at: 12707.4
